INSTANCE_NAME v_81_a144_r0_b4
NB_VERTICES 81
NB_ARCS 144
NB_BLOCKAGES 4


VERTICES
24 33 
67 68 
44 45 
61 70 
20 29 
8 9 
40 41 
2 11 
57 66 
53 62 
41 42 
30 39 
73 74 
25 34 
35 44 
14 15 
31 40 
74 75 
68 77 
27 36 
15 16 
47 48 
42 43 
64 73 
59 68 
38 39 
5 14 
48 49 
60 69 
80 81 
75 76 
1 10 
16 17 
71 72 
33 42 
12 13 
22 23 
77 78 
29 38 
49 50 
66 75 
13 14 
55 56 
7 16 
50 51 
62 71 
72 81 
51 52 
3 12 
46 47 
58 67 
23 24 
78 79 
40 49 
19 20 
36 45 
24 25 
79 80 
56 57 
63 72 
32 41 
20 21 
52 53 
4 13 
14 23 
57 58 
69 78 
10 19 
53 54 
65 74 
30 31 
37 46 
25 26 
47 56 
6 15 
26 27 
21 22 
43 52 
31 32 
38 47 
70 79 
17 18 
39 48 
34 43 
11 20 
64 65 
71 80 
5 6 
60 61 
12 21 
67 76 
44 53 
1 2 
8 17 
28 29 
45 54 
41 50 
29 30 
18 27 
51 60 
61 62 
2 3 
9 18 
19 28 
62 63 
56 65 
15 24 
3 4 
58 59 
35 36 
42 51 
52 61 
48 57 
68 69 
32 33 
16 25 
4 5 
59 60 
26 35 
69 70 
21 30 
22 31 
10 11 
65 66 
17 26 
49 58 
37 38 
54 63 
6 7 
13 22 
33 34 
55 64 
43 44 
50 59 
70 71 
39 40 
46 55 
34 35 
23 32 
11 12 
66 67 
76 77 
28 37 
7 8 


ARCS
24 33 1
67 68 1
44 45 1
61 70 1
20 29 1
8 9 1
40 41 1
2 11 1
57 66 1
53 62 1
41 42 1
30 39 1
73 74 1
25 34 1
35 44 1
14 15 1
31 40 1
74 75 1
68 77 1
27 36 1
15 16 1
47 48 1
42 43 1
64 73 1
59 68 1
38 39 1
5 14 1
48 49 1
60 69 1
80 81 1
75 76 1
1 10 1
16 17 1
71 72 1
33 42 1
12 13 1
22 23 1
77 78 1
29 38 1
49 50 1
66 75 1
13 14 1
55 56 1
7 16 1
50 51 1
62 71 1
72 81 1
51 52 1
3 12 1
46 47 1
58 67 1
23 24 1
78 79 1
40 49 1
19 20 1
36 45 1
24 25 1
79 80 1
56 57 1
63 72 1
32 41 1
20 21 1
52 53 1
4 13 1
14 23 1
57 58 1
69 78 1
10 19 1
53 54 1
65 74 1
30 31 1
37 46 1
25 26 1
47 56 1
6 15 1
26 27 1
21 22 1
43 52 1
31 32 1
38 47 1
70 79 1
17 18 1
39 48 1
34 43 1
11 20 1
64 65 1
71 80 1
5 6 1
60 61 1
12 21 1
67 76 1
44 53 1
1 2 1
8 17 1
28 29 1
45 54 1
41 50 1
29 30 1
18 27 1
51 60 1
61 62 1
2 3 1
9 18 1
19 28 1
62 63 1
56 65 1
15 24 1
3 4 1
58 59 1
35 36 1
42 51 1
52 61 1
48 57 1
68 69 1
32 33 1
16 25 1
4 5 1
59 60 1
26 35 1
69 70 1
21 30 1
22 31 1
10 11 1
65 66 1
17 26 1
49 58 1
37 38 1
54 63 1
6 7 1
13 22 1
33 34 1
55 64 1
43 44 1
50 59 1
70 71 1
39 40 1
46 55 1
34 35 1
23 32 1
11 12 1
66 67 1
76 77 1
28 37 1
7 8 1


REQUESTS

BLOCKAGES

20 11
29 28
2 11
26 27

END
