INSTANCE_NAME v_64_a112_r0_b4
NB_VERTICES 64
NB_ARCS 112
NB_BLOCKAGES 4


VERTICES
41 49 
18 26 
44 45 
14 22 
9 17 
15 23 
41 42 
18 19 
47 55 
42 50 
14 15 
9 10 
38 46 
48 56 
15 16 
47 48 
16 24 
42 43 
12 20 
38 39 
22 30 
49 57 
13 21 
45 53 
55 63 
12 13 
22 23 
51 59 
46 54 
23 31 
49 50 
13 14 
19 27 
45 46 
55 56 
50 51 
56 64 
51 52 
20 28 
46 47 
23 24 
52 60 
19 20 
53 61 
30 38 
25 33 
20 21 
26 34 
52 53 
21 29 
31 39 
57 58 
17 25 
27 35 
53 54 
30 31 
25 26 
54 62 
26 27 
21 22 
50 58 
5 13 
31 32 
17 18 
1 9 
27 28 
28 36 
54 55 
24 32 
5 6 
60 61 
29 37 
1 2 
2 10 
28 29 
3 11 
29 30 
35 43 
61 62 
2 3 
36 44 
62 63 
3 4 
32 40 
58 59 
35 36 
4 12 
10 18 
36 37 
37 45 
63 64 
6 14 
4 5 
33 41 
59 60 
43 51 
10 11 
39 47 
34 42 
11 19 
37 38 
6 7 
7 15 
33 34 
43 44 
44 52 
39 40 
8 16 
34 35 
11 12 
40 48 
7 8 


ARCS
41 49 1
18 26 1
44 45 1
14 22 1
9 17 1
15 23 1
41 42 1
18 19 1
47 55 1
42 50 1
14 15 1
9 10 1
38 46 1
48 56 1
15 16 1
47 48 1
16 24 1
42 43 1
12 20 1
38 39 1
22 30 1
49 57 1
13 21 1
45 53 1
55 63 1
12 13 1
22 23 1
51 59 1
46 54 1
23 31 1
49 50 1
13 14 1
19 27 1
45 46 1
55 56 1
50 51 1
56 64 1
51 52 1
20 28 1
46 47 1
23 24 1
52 60 1
19 20 1
53 61 1
30 38 1
25 33 1
20 21 1
26 34 1
52 53 1
21 29 1
31 39 1
57 58 1
17 25 1
27 35 1
53 54 1
30 31 1
25 26 1
54 62 1
26 27 1
21 22 1
50 58 1
5 13 1
31 32 1
17 18 1
1 9 1
27 28 1
28 36 1
54 55 1
24 32 1
5 6 1
60 61 1
29 37 1
1 2 1
2 10 1
28 29 1
3 11 1
29 30 1
35 43 1
61 62 1
2 3 1
36 44 1
62 63 1
3 4 1
32 40 1
58 59 1
35 36 1
4 12 1
10 18 1
36 37 1
37 45 1
63 64 1
6 14 1
4 5 1
33 41 1
59 60 1
43 51 1
10 11 1
39 47 1
34 42 1
11 19 1
37 38 1
6 7 1
7 15 1
33 34 1
43 44 1
44 52 1
39 40 1
8 16 1
34 35 1
11 12 1
40 48 1
7 8 1


REQUESTS

BLOCKAGES

39 47
9 1
53 52
21 22

END
